Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	Homo sapiens	Glucose-6-phosphate isomerase	1:Experimental evidence at protein level	21.33	1.0000	0.9990	12	7	12	14	9	14	14087835	12847500	14087835	10K(304.2072), 11K(304.2072), 13M(15.9949), 15K(304.2072), 17K(304.2072), 18K(304.2072), 7K(304.2072), N-term(304.2072), N-term(42.0106)			606021.4512	1366243.3320	359151.8193	129196.8500	454512.4331	43559.2084	47162.3137	36479.8990	63869.4222	178737.6947	169440.9060	477029.6445	510420.1147	121379.0046	141941.5886	103305.2301	549383.4160	382049.1855
sp|P06753|TPM3_HUMAN	P06753	TPM3_HUMAN	TPM3	285	Homo sapiens	Tropomyosin alpha-3 chain	1:Experimental evidence at protein level	56.84	1.0000	0.9990	28	11	15	34	13	20	232696428	52839002	232696428	11K(304.2072), 13K(304.2072), 16K(304.2072), 1C(57.0215), 1K(304.2072), 4K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			2815028.4707	8348237.1172	958297.3789	509595.8246	231101.6371	42421.8687	57935.5847	32461.9006	62081.1354	114528.3188	162023.8856	238688.2158	543356.2029	100662.5127	153797.1283	84584.8269	348947.0941	324240.3779
sp|P07108|ACBP_HUMAN	P07108	ACBP_HUMAN	DBI	87	Homo sapiens	Acyl-CoA-binding protein	1:Experimental evidence at protein level	49.43	1.0000	0.9990	3	3	3	4	4	4	1832780	1832780	1832780	10K(304.2072), 14M(15.9949), 20K(304.2072), 5K(304.2072), 7K(304.2072), N-term(304.2072), N-term(42.0106)			139071.2261	129141.4082	41107.1274	28153.8687	37227.5854	18890.1990	17086.0675	4901.6042	11112.2195	8656.2710	19823.8953	20598.0696	102117.4346	24279.2185	42348.4556	52492.7427	27771.6060	23376.0686
sp|P07195|LDHB_HUMAN	P07195	LDHB_HUMAN	LDHB	334	Homo sapiens	L-lactate dehydrogenase B chain	1:Experimental evidence at protein level	26.05	1.0000	0.9990	8	6	6	9	6	6	24364064	11299811	24364064	10K(304.2072), 14K(304.2072), 16K(304.2072), 2K(304.2072), 5K(304.2072), 9K(304.2072), N-term(304.2072)			346080.8047	458215.5508	178927.0469	49269.7898	231873.1875	32126.9465	16257.0203	14364.5094	25596.5120	61095.7295	76332.5996	223533.3037	300148.5254	72501.2546	64681.6750	58816.9932	294344.9277	233081.7314
sp|P07196|NFL_HUMAN	P07196	NFL_HUMAN	NEFL	543	Homo sapiens	Neurofilament light polypeptide	1:Experimental evidence at protein level	34.44	1.0000	0.9990	21	19	19	22	19	19	18053398	18053398	18053398	10K(304.2072), 14K(304.2072), 1K(304.2072), 3K(304.2072), 7C(57.0215), 8K(304.2072), N-term(304.2072), N-term(42.0106)			1022454.3359	1371877.2988	503699.3379	161431.0503	878494.4990	65073.1951	99546.0736	143466.6044	158381.6890	211576.0992	358574.1162	535214.5615	1115891.0059	393793.8599	210119.2200	155906.2397	599034.4209	368911.2886
sp|P07197|NFM_HUMAN	P07197	NFM_HUMAN	NEFM	916	Homo sapiens	Neurofilament medium polypeptide	1:Experimental evidence at protein level	16.70	1.0000	0.9990	15	13	13	18	15	15	8953327	8953327	8953327	10K(304.2072), 11K(304.2072), 14K(304.2072), 17K(304.2072), 4K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			974957.9434	880619.5293	271844.9045	90121.0682	443582.0728	33169.1761	47037.1353	60344.5487	66316.2526	160076.5081	146812.8110	298052.5449	632270.1787	232245.3555	161010.8181	120151.1406	226916.5312	175866.2100
sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	Homo sapiens	Protein disulfide-isomerase	1:Experimental evidence at protein level	13.98	1.0000	0.9990	7	7	7	7	7	7	3056303	3056303	3056303	11K(304.2072), 2K(304.2072), 8K(304.2072), N-term(304.2072)			310768.3945	350412.4863	116606.0181	35904.3159	144202.2744	83371.8057	12815.9968	9325.2928	14103.5701	45242.7449	61125.4971	138941.3525	170711.7158	35935.5322	31641.4548	27141.8235	132031.9443	93924.5703
sp|P07305|H10_HUMAN	P07305	H10_HUMAN	H1-0	194	Homo sapiens	Histone H1.0	1:Experimental evidence at protein level	15.98	1.0000	0.9966	3	3	3	3	3	3	1803556	1803556	1803556	10K(304.2072), 11K(304.2072), 13K(304.2072), 8K(304.2072), N-term(304.2072)			198170.2266	296493.4727	42982.7871	24869.5518	11744.0952	3313.7168	3670.8458	7005.5314	5104.1519	14643.2520	11377.7637	18448.4443	36968.1533	8907.6106	7629.7109	8035.5554	17801.6006	16432.1665
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	Cathepsin D	1:Experimental evidence at protein level	6.55	1.0000	0.9990	3	3	3	3	3	3	2732306	2732306	2732306	10K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			98491.5752	90970.3105	41105.1733	10834.6091	71869.0742	36326.6113	3967.9121	10245.7905	11252.5042	21802.6333	18462.7476	121987.3770	67056.4482	19710.5879	12057.1475	20241.3645	53572.5449	46989.5776
sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	Homo sapiens	Annexin A2	1:Experimental evidence at protein level	16.22	1.0000	0.9990	5	1	5	5	1	5	1939846	261219	1939846	10K(304.2072), 11K(304.2072), 7K(304.2072), 8C(57.0215), 9K(304.2072), N-term(304.2072), N-term(42.0106)			310906.4141	88263.0410	39934.1641	10786.6710	23005.6382	72150.1270	8310.2920	9945.1550	7331.4841	24228.5249	17348.3254	38253.0098	40036.9917	12540.6964	8670.8685	6570.1372	25531.8633	25975.8052
sp|P07437|TBB5_HUMAN	P07437	TBB5_HUMAN	TUBB	444	Homo sapiens	Tubulin beta chain	1:Experimental evidence at protein level	50.23	1.0000	0.9990	23	3	4	55	4	8	144916216	4958520	144916216	11M(15.9949), 12K(304.2072), 15K(304.2072), N-term(304.2072)			115842.9385	316637.8330	104012.7373	50409.9445	208257.5459	23342.8384	19449.4692	6238.5295	27626.0455	32184.6539	60040.6475	149560.7134	283142.2139	79396.5486	42329.3240	30798.0138	157398.6772	118594.7764
sp|P07602|SAP_HUMAN	P07602	SAP_HUMAN	PSAP	524	Homo sapiens	Prosaposin	1:Experimental evidence at protein level	10.69	1.0000	0.9990	7	7	7	9	9	9	18366750	18366750	18366750	10K(304.2072), 11K(304.2072), 2C(57.0215), 5C(57.0215), 6C(57.0215), 8C(57.0215), 9K(304.2072), N-term(304.2072)			435491.6357	1816781.0703	276169.4824	102170.7678	45169.4988	15930.6312	10505.5867	5319.3179	7636.8978	23902.4038	27504.4297	52310.7861	66170.5029	13711.7871	22844.2371	24889.2371	73107.1299	57328.5037
sp|P07737|PROF1_HUMAN	P07737	PROF1_HUMAN	PFN1	140	Homo sapiens	Profilin-1	1:Experimental evidence at protein level	57.86	1.0000	0.9990	7	4	7	7	4	7	2302634	2302634	2302634	10K(304.2072), 12K(304.2072), 14K(304.2072), 1C(57.0215), 6M(15.9949), 8K(304.2072), N-term(304.2072)			190660.1270	326468.2734	135254.2637	43236.9612	104056.7407	50441.8691	13403.3718	12128.8596	14467.2831	33972.6100	32680.8428	77350.0845	119339.3560	31700.7390	21726.9946	24473.8527	83651.0073	83642.7671
sp|P07858|CATB_HUMAN	P07858	CATB_HUMAN	CTSB	339	Homo sapiens	Cathepsin B	1:Experimental evidence at protein level	6.19	1.0000	0.9990	2	2	2	2	2	2	587256	587256	587256	10K(304.2072), 11K(304.2072), 2C(57.0215), 6C(57.0215), N-term(304.2072)			36250.0723	59806.0898	17587.7529	6008.7883	21811.7979	26852.7588	4115.7502	3693.1564	3419.9135	13509.8284	6545.8848	29745.8457	29160.4395	8935.6838	5042.9958	6694.4597	22588.7373	15672.8384
sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	Homo sapiens	Heat shock protein HSP 90-alpha	1:Experimental evidence at protein level	30.19	1.0000	0.9990	22	1	13	23	1	13	8013897	305511	8013897	10K(304.2072), 11K(304.2072), 12K(304.2072), 14K(304.2072), 15K(304.2072), 17C(57.0215), 7K(304.2072), N-term(304.2072)			669818.5752	778447.5254	389877.6631	78033.1455	235400.6206	67481.4083	29853.7432	21731.1138	37604.9078	84388.2128	133105.5757	169680.0308	516145.7578	66787.0186	77974.0063	50639.2987	389920.2368	173095.3569
sp|P07919|QCR6_HUMAN	P07919	QCR6_HUMAN	UQCRH	91	Homo sapiens	Cytochrome b-c1 complex subunit 6, mitochondrial	1:Experimental evidence at protein level	53.85	1.0000	0.9990	6	3	6	6	3	6	73956709	52957178	73956709	3C(57.0215), 4C(57.0215), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			448527.3008	2321587.3594	923291.1836	200081.5088	263506.6543	31268.5767	83508.5454	38502.3267	92972.7051	170561.6504	206132.1104	173861.1807	865520.5117	165239.7588	260455.4629	208225.5947	494594.2676	406846.2930
sp|P07954|FUMH_HUMAN	P07954	FUMH_HUMAN	FH	510	Homo sapiens	Fumarate hydratase, mitochondrial	1:Experimental evidence at protein level	15.88	1.0000	0.9990	8	8	8	11	11	11	4405588	4405588	4405588	11K(304.2072), 12K(304.2072), 14K(304.2072), 2K(304.2072), 5K(304.2072), 6M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			273591.0068	712026.0312	207894.0742	66277.3481	223402.1978	30777.4031	19087.8530	18762.3525	38726.0834	105531.3805	110207.3057	265103.6621	373146.6738	110429.2183	60614.9502	72957.3181	263748.1113	164252.8916
sp|P08133|ANXA6_HUMAN	P08133	ANXA6_HUMAN	ANXA6	673	Homo sapiens	Annexin A6	1:Experimental evidence at protein level	26.15	1.0000	0.9990	18	18	18	19	19	19	3817057	3817057	3817057	10K(304.2072), 11K(304.2072), 14K(304.2072), 16K(304.2072), 1C(57.0215), 3K(304.2072), 4C(57.0215), 5K(304.2072), 6C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			549864.2861	848292.7930	267033.2996	97937.7899	400943.6440	52741.4554	29931.4209	14667.6074	32155.0880	104363.7905	138656.5688	419294.1255	459789.7114	153579.7974	120582.5887	122081.4214	570106.3555	420879.9321
sp|P08174|DAF_HUMAN	P08174	DAF_HUMAN	CD55	381	Homo sapiens	Complement decay-accelerating factor	1:Experimental evidence at protein level	13.65	1.0000	0.9990	6	6	6	6	6	6	6267475	6267475	6267475	10C(57.0215), 12K(304.2072), 2C(57.0215), 3C(57.0215), 5K(304.2072), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			337263.7891	1372559.3516	243584.3926	84326.9282	47176.6028	12289.7329	11160.9752	10511.6017	10721.0222	54556.7290	31339.0166	68337.3003	86277.8647	16684.7231	27203.5190	14180.7657	54251.0771	33446.4686
sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	Homo sapiens	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	22.93	1.0000	0.9990	17	3	17	18	3	18	7983617	1334664	7983617	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 14K(304.2072), 15K(304.2072), 2K(304.2072), 2M(15.9949), 5K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			832845.6367	1069109.9863	526314.3281	117493.1633	336584.6777	94921.3994	35972.4965	31056.8881	58199.6827	145670.6176	199613.5713	252044.8752	665181.3174	85602.6812	103510.0310	55844.8695	527105.6602	248668.9912
sp|P08247|SYPH_HUMAN	P08247	SYPH_HUMAN	SYP	313	Homo sapiens	Synaptophysin	1:Experimental evidence at protein level	8.63	1.0000	0.9990	3	3	3	4	4	4	66473454	66473454	66473454	11C(57.0215), 6C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			281044.1426	528414.5078	370963.1973	50562.0977	243829.2900	2511.4214	15662.2697	19966.9497	35591.1500	78211.6621	77075.1877	224467.2705	301128.1699	42204.7837	37496.1221	34029.7178	250891.0820	191928.0137
sp|P08559|ODPA_HUMAN	P08559	ODPA_HUMAN	PDHA1	390	Homo sapiens	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	1:Experimental evidence at protein level	24.10	1.0000	0.9990	11	10	11	11	10	11	16872106	8555801	16872106	10K(304.2072), 2K(304.2072), 3C(57.0215), 7C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			290176.7383	583694.1055	293229.5625	69121.6083	350276.2764	37214.1099	34086.8293	34839.3676	71005.6941	131799.5552	146519.5977	341854.7295	620959.2305	176373.1353	91695.1514	99897.7224	403142.7275	224530.9248
sp|P08574|CY1_HUMAN	P08574	CY1_HUMAN	CYC1	325	Homo sapiens	Cytochrome c1, heme protein, mitochondrial	1:Experimental evidence at protein level	7.08	1.0000	0.9990	2	2	2	2	2	2	6649318	6649318	6649318	3C(57.0215), N-term(304.2072)			67837.6484	142936.7031	75909.5156	19422.9043	44750.3477	7023.2563	3670.2583	5469.1499	9025.7314	19620.1582	19870.2012	66711.3750	78885.0625	18523.8398	12273.2881	13999.0693	85317.1719	62848.0781
sp|P08670|VIME_HUMAN	P08670	VIME_HUMAN	VIM	466	Homo sapiens	Vimentin	1:Experimental evidence at protein level	29.40	1.0000	0.9990	15	10	12	15	10	12	18784905	5522718	18784905	10K(304.2072), 15K(304.2072), 4K(304.2072), 9K(304.2072), N-term(304.2072)			685593.9668	689416.2334	194209.9790	83809.7042	163228.1060	449000.6074	35347.0338	45840.1752	69737.4117	91134.9380	137146.0125	146221.3975	773391.9033	144023.9551	71149.8961	38128.2789	158142.1523	141443.2559
sp|P08708|RS17_HUMAN	P08708	RS17_HUMAN	RPS17	135	Homo sapiens	40S ribosomal protein S17	1:Experimental evidence at protein level	16.30	1.0000	0.9990	2	2	2	3	3	3	1634691	1634691	1634691	11K(304.2072), 12K(304.2072), 2C(57.0215), 9K(304.2072), N-term(304.2072)			129461.9141	143140.5469	34213.2207	13747.7080	22997.5557	26350.6777	5448.2126	3988.5781	1570.2090	6613.7708	7707.7383	20604.9141	50847.0781	12469.4155	10098.4792	9000.5498	27169.2012	24296.2520
sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens	Annexin A5	1:Experimental evidence at protein level	10.62	1.0000	0.9990	4	4	4	4	4	4	5812320	5812320	5812320	8K(304.2072), N-term(304.2072)			346870.9473	151829.7041	62383.8784	14809.4395	68995.1135	52953.9600	7219.1694	5737.1180	10923.6659	23974.2966	25807.7668	65557.6367	91104.0854	15461.1655	15955.3823	19311.1953	81495.1316	65325.1987
sp|P09104|ENOG_HUMAN	P09104	ENOG_HUMAN	ENO2	434	Homo sapiens	Gamma-enolase	1:Experimental evidence at protein level	28.80	1.0000	0.9990	13	10	11	16	13	14	29685710	29685710	29685710	10K(304.2072), 13K(304.2072), 14C(57.0215), 15K(304.2072), 2C(57.0215), 3K(304.2072), 4C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			501847.6982	1157788.6562	417222.9082	128359.1113	574585.6963	35920.2505	51269.5334	34783.2694	80530.5645	145655.6248	201039.9014	588274.3828	688236.5024	165274.9233	177606.9089	123464.7852	742663.2803	587207.6753
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	Homo sapiens	Glutathione S-transferase P	1:Experimental evidence at protein level	12.38	1.0000	0.9990	2	2	2	2	2	2	1142493	1142493	1142493	10K(304.2072), 3C(57.0215), N-term(304.2072)			73480.7871	70570.8281	24006.5269	7006.1582	51632.3350	18555.3208	1179.6493	2089.9614	4813.7571	6258.6177	11615.5740	35074.3188	49169.0576	8292.5190	5494.0258	9095.0369	39082.9336	29183.0171
sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	Homo sapiens	Galectin-1	1:Experimental evidence at protein level	54.07	1.0000	0.9990	7	7	7	8	8	8	12157570	12157570	12157570	10K(304.2072), 12C(57.0215), 12K(304.2072), 15K(304.2072), 16C(57.0215), 2C(57.0215), 6C(57.0215), 8K(304.2072), N-term(304.2072), N-term(42.0106)			477613.4492	554398.6992	210489.6035	61843.7258	178963.5000	45584.2256	26939.1785	33709.2798	36604.9517	90122.4006	80856.5513	247900.1387	362931.0391	72428.7510	68083.8462	73035.5791	302591.5898	202861.7344
sp|P09417|DHPR_HUMAN	P09417	DHPR_HUMAN	QDPR	244	Homo sapiens	Dihydropteridine reductase	1:Experimental evidence at protein level	30.74	1.0000	0.9990	6	6	6	6	6	6	5125587	5125587	5125587	11K(304.2072), 13K(304.2072), 16K(304.2072), 2C(57.0215), 7C(57.0215), 7K(304.2072), N-term(304.2072), N-term(42.0106)			180623.2051	264492.7402	105825.9473	40097.4404	220711.5498	16720.2156	18468.8340	15610.4979	19753.6412	70098.1233	34513.2932	192697.7773	106045.7666	40867.8481	24854.4141	23374.6248	104157.2012	94902.9282
sp|P09429|HMGB1_HUMAN	P09429	HMGB1_HUMAN	HMGB1	215	Homo sapiens	High mobility group protein B1	1:Experimental evidence at protein level	32.09	1.0000	0.9990	8	1	8	8	1	8	8886868	5222224	8886868	10K(304.2072), 11C(57.0215), 13K(304.2072), 15K(304.2072), 2K(304.2072), 3K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			2074210.0898	1642853.5742	450443.9141	127152.2466	77599.6372	22308.7827	18702.5154	29595.9847	19817.7405	63833.2822	39063.3018	90443.5139	137708.9307	32847.1765	28099.9363	22544.7495	75756.0771	90283.5452
sp|P09471|GNAO_HUMAN	P09471	GNAO_HUMAN	GNAO1	354	Homo sapiens	Guanine nucleotide-binding protein G(o) subunit alpha	1:Experimental evidence at protein level	35.88	1.0000	0.9990	14	12	13	19	16	18	40323841	40323841	40323841	10C(57.0215), 11K(304.2072), 12K(304.2072), 13K(304.2072), 14K(304.2072), 2M(15.9949), 3C(57.0215), 3K(304.2072), 9K(304.2072), N-term(304.2072)			701904.1777	1866193.4023	592791.7544	249634.4207	1076595.0508	62904.5764	114254.8042	87147.8911	149000.8594	256671.8203	377642.2227	757677.7881	1773803.1670	307444.1344	352852.7737	203679.8149	1214502.5859	817091.5752
sp|P09493|TPM1_HUMAN	P09493	TPM1_HUMAN	TPM1	284	Homo sapiens	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	57.75	1.0000	0.9990	24	12	13	31	15	16	232696428	78351637	232696428	11K(304.2072), 13K(304.2072), 16K(304.2072), 1C(57.0215), 3K(304.2072), 4K(304.2072), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			1956602.2061	5653598.0039	882056.6543	343650.4792	177852.3639	43924.7014	52837.6366	42096.7557	55676.5648	151485.7683	147858.4810	218261.0281	356549.3197	73803.0796	128103.5227	81985.0776	245695.8376	242106.4628
sp|P09496|CLCA_HUMAN	P09496	CLCA_HUMAN	CLTA	248	Homo sapiens	Clathrin light chain A	1:Experimental evidence at protein level	25.40	1.0000	0.9990	8	7	8	8	7	8	20943424	20943424	20943424	10K(304.2072), 1K(304.2072), 2C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			396778.5703	918063.5469	615915.2812	119566.2603	735280.4043	46881.0544	48174.7173	50568.6775	93062.8289	141831.4331	210077.3896	559155.7930	1157770.0898	188626.4888	149167.4985	117449.8296	670515.6719	468214.2246
sp|P09497|CLCB_HUMAN	P09497	CLCB_HUMAN	CLTB	229	Homo sapiens	Clathrin light chain B	1:Experimental evidence at protein level	32.31	1.0000	0.9990	12	12	12	14	14	14	29897232	29897232	29897232	10K(304.2072), 13K(304.2072), 1K(304.2072), 3K(304.2072), 4M(15.9949), 5C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)			499079.4189	2848773.3359	1548519.0117	334082.7041	693905.5742	50285.4105	71818.3561	75640.5186	160149.2275	227638.2622	264866.6060	462222.1826	1536703.0938	261939.6670	309470.7656	182610.5452	779239.9795	682020.0034
sp|P09543|CN37_HUMAN	P09543	CN37_HUMAN	CNP	421	Homo sapiens	2',3'-cyclic-nucleotide 3'-phosphodiesterase	1:Experimental evidence at protein level	52.73	1.0000	0.9990	31	30	31	33	32	33	89484035	89484035	89484035	10C(57.0215), 11K(304.2072), 12K(304.2072), 13K(304.2072), 14K(304.2072), 1K(304.2072), 2K(304.2072), 2M(15.9949), 3C(57.0215), 5K(304.2072), 7C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			2631423.5996	2583127.6846	1088091.3838	437376.0408	5267634.0146	169156.6205	317870.5256	290214.1235	216783.1431	415199.3379	593420.3359	1942691.2783	1081386.5190	319161.5217	268595.3397	305831.5155	887441.1226	992216.9297
sp|P09622|DLDH_HUMAN	P09622	DLDH_HUMAN	DLD	509	Homo sapiens	Dihydrolipoyl dehydrogenase, mitochondrial	1:Experimental evidence at protein level	21.22	1.0000	0.9990	12	12	12	15	15	15	7904849	7904849	7904849	10K(304.2072), 11K(304.2072), 12K(304.2072), 13C(57.0215), 13K(304.2072), 14C(57.0215), 17K(304.2072), 18K(304.2072), 19C(57.0215), 23K(304.2072), 2K(304.2072), 3C(57.0215), 6K(304.2072), 7K(304.2072), 8C(57.0215), N-term(304.2072)			430565.9717	942516.4941	393446.3110	110996.7446	452619.3545	52720.9847	38090.8190	37795.0747	72660.2517	143394.0599	224300.9312	424635.1475	696458.4355	316819.6349	152796.0299	146716.5610	574795.6621	317771.7241
sp|P09669|COX6C_HUMAN	P09669	COX6C_HUMAN	COX6C	75	Homo sapiens	Cytochrome c oxidase subunit 6C	1:Experimental evidence at protein level	61.33	1.0000	0.9990	9	9	9	12	12	12	28709015	28709015	28709015	11M(15.9949), 13K(304.2072), 1K(304.2072), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			334680.0054	2294027.0664	1836954.7324	212779.6719	329392.4570	50492.9664	65047.9994	65231.7272	121921.1716	209700.3252	214397.3770	263572.1816	757246.4590	191367.8999	265027.9702	225758.5857	546224.4014	613368.9717
sp|P09936|UCHL1_HUMAN	P09936	UCHL1_HUMAN	UCHL1	223	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase isozyme L1	1:Experimental evidence at protein level	63.23	1.0000	0.9990	14	14	14	21	21	21	42724686	42724686	42724686	10K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 15K(304.2072), 17C(57.0215), 17K(304.2072), 1C(57.0215), 1K(304.2072), 21C(57.0215), 22K(304.2072), 4K(304.2072), 6K(304.2072), 6M(15.9949), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9M(15.9949), N-term(304.2072)			679745.5518	1432760.6738	719282.4663	169342.9688	1069171.2881	43107.9814	74652.6141	35126.4855	140725.7382	197933.5985	228225.2427	759095.7451	1143903.6699	395895.4198	210454.2893	189967.4597	634649.0127	536270.9731
sp|P09972|ALDOC_HUMAN	P09972	ALDOC_HUMAN	ALDOC	364	Homo sapiens	Fructose-bisphosphate aldolase C	1:Experimental evidence at protein level	58.52	1.0000	0.9990	22	16	17	26	19	20	45624830	19439711	45624830	11K(304.2072), 12K(304.2072), 12M(15.9949), 14K(304.2072), 3K(304.2072), 7K(304.2072), N-term(304.2072)			638268.9624	1136099.7256	450919.3569	135246.2946	497319.6079	232004.3223	47784.5411	47334.5952	78452.1591	165242.7216	190951.7460	625405.8064	820269.8721	158089.9111	173134.8661	198499.7659	790649.0635	571973.7168
sp|P0C7P4|UCRIL_HUMAN	P0C7P4	UCRIL_HUMAN	UQCRFS1P1	283	Homo sapiens	Putative cytochrome b-c1 complex subunit Rieske-like protein 1	5:Protein uncertain	12.01	1.0000	0.9990	4	0	4	5	0	5	9770548	     0	9770548	8K(304.2072), N-term(304.2072)		sp|P47985|UCRI_HUMAN	165527.2598	452310.0195	171869.9004	49423.2083	188984.9951	32614.4260	25132.6196	34053.5930	55150.2915	104749.9209	102822.3755	262791.4961	435754.0840	150925.4189	98920.6978	98248.7256	250451.0254	193514.0225
sp|P0DJ93|SIM13_HUMAN	P0DJ93	SIM13_HUMAN	SMIM13	91	Homo sapiens	Small integral membrane protein 13	3:Protein inferred from homology	46.15	1.0000	0.9990	2	2	2	2	2	2	600907	600907	600907	N-term(304.2072)			12748.7773	34337.9648	5616.9219	1331.5408	1615.8633	0.0000	0.0000	1657.0084	1359.4004	2920.9067	5278.0254	5058.3389	3324.1467	0.0000	1475.1790	1917.1285	2387.1133	2997.5366
sp|P0DMV8|HS71A_HUMAN	P0DMV8	HS71A_HUMAN	HSPA1A	641	Homo sapiens	Heat shock 70 kDa protein 1A	1:Experimental evidence at protein level	24.02	1.0000	0.9990	17	0	10	20	0	13	49227052	     0	49227052	10M(15.9949), 11K(304.2072), 15K(304.2072), 2K(304.2072), 3K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P0DMV9|HS71B_HUMAN	366825.8604	727745.1816	221438.1812	73583.9851	351656.3569	49593.9277	25917.9841	26031.2692	40907.0913	97961.0320	119930.7881	280734.7202	381722.3340	130225.2092	83668.0940	78603.8799	311616.0835	235249.7153
sp|P0DOY2|IGLC2_HUMAN	P0DOY2	IGLC2_HUMAN	IGLC2	106	Homo sapiens	Immunoglobulin lambda constant 2	1:Experimental evidence at protein level	23.58	1.0000	0.9990	2	0	2	2	0	2	1192865	     0	1192865	10K(304.2072), 15K(304.2072), 4C(57.0215), N-term(304.2072)		sp|P0DOY3|IGLC3_HUMAN	173393.5938	83210.4102	33457.8750	10345.8933	17178.3267	35399.8359	5312.9907	3583.7952	9625.5962	8642.1057	10727.8418	25035.3428	24600.8037	7614.8501	5438.3030	11050.3677	15340.8359	21004.0225
sp|P0DP23|CALM1_HUMAN	P0DP23	CALM1_HUMAN	CALM1	149	Homo sapiens	Calmodulin-1	1:Experimental evidence at protein level	46.31	1.0000	0.9990	12	0	12	17	0	17	79536226	     0	79536226	13K(304.2072), 17K(304.2072), 1K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 6M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)		sp|P0DP24|CALM2_HUMAN, sp|P0DP25|CALM3_HUMAN	1032527.5996	3706012.5469	745110.5957	295512.2789	342693.9895	61133.1321	44007.2219	62816.3962	73737.8578	198361.9019	235017.2922	334419.1489	1046218.3379	122421.9691	150053.2023	244883.4089	702295.0344	452385.3213
sp|P0DP58|LYNX1_HUMAN	P0DP58	LYNX1_HUMAN	LYNX1	116	Homo sapiens	Ly-6/neurotoxin-like protein 1	1:Experimental evidence at protein level	25.86	1.0000	0.9990	3	3	3	7	7	7	30003797	30003797	30003797	11K(304.2072), 1C(57.0215), 4M(15.9949), 8C(57.0215), N-term(304.2072)			279529.3340	1589966.1758	217198.6143	113180.3933	51775.0701	10442.4647	14945.5001	7304.8081	14272.3387	28007.2612	24709.2177	36754.4126	86623.0425	19496.3173	53579.6650	28232.0804	65700.2346	57875.3765
